"Site_Id","Unit_Id","Read_Date","Salinity..ppt.","Dissolved.Oxygen..mg.L.","pH..standard.units.","Secchi.Depth..m.","Water.Depth..m.","Water.Temp...C.","Air.Temp.Celsius","Air.Temp...F.","Time..24.00.","Field_Tech","DateVerified","WhoVerified","AirTemp..C.","Year"
"bay",NA,1989-08-31,NA,7.1,9,0.2,0.8,28,NA,82.4,9H 36M 0S,"John Phillips",NA,NA,28,1989
"bay",NA,1989-09-14,NA,6,7.5,0.3,0.9,26,NA,78.8,19H 12M 0S,"John Phillips",NA,NA,26,1989
"bay",NA,1989-10-25,NA,7.8,8.5,0.2,0.5,15,NA,66.2,4H 48M 0S,"John Phillips",NA,NA,19,1989
"bay",NA,1989-10-31,NA,NA,7.5,0.2,0.7,21.5,NA,71.6,14H 24M 0S,"John Phillips",NA,NA,22,1989
"bay",NA,1989-11-20,NA,NA,8,0.2,1,8.5,NA,57.2,4H 48M 0S,"John Phillips",NA,NA,14,1989
"bay",NA,1989-11-27,NA,10.3,7.5,0.2,0.6,9,NA,39.2,4H 48M 0S,"John Phillips",NA,NA,4,1989
"bay",NA,1989-12-11,NA,10.2,7,0.2,0.4,3,NA,37.4,9H 36M 0S,"John Phillips",NA,NA,3,1989
"bay",NA,1990-01-03,NA,11.9,7.5,0.2,0.6,3,NA,41,NA,"J Phillips, Mary Feldman",NA,NA,5,1990
"bay",NA,1990-01-08,NA,10.8,7.5,0.2,0.4,7,NA,45.5,12H 0M 0S,"J Phillips, Mary Feldman",NA,NA,7.5,1990
"bay",NA,1990-01-22,1,9.7,7.5,0.15,0.65,10,NA,53.6,14H 24M 0S,"J Phillips, Mary Feldman",NA,NA,12,1990
"bay",NA,1990-01-30,NA,10.8,7.5,0.2,0.7,9,NA,55.4,9H 36M 0S,"J Phillips, Mary Feldman",NA,NA,13,1990
"bay",NA,1990-02-07,3.4,10.8,7.5,0.2,0.6,10,NA,50,NA,"J Phillips, Mary Feldman",NA,NA,10,1990
"bay",NA,1990-02-12,3.2,10.6,7,0.2,0.7,10,NA,48.2,4H 48M 0S,"J Phillips, Mary Feldman",NA,NA,9,1990
"bay",NA,1990-02-20,4.2,11.6,7.5,0.15,0.39,5,NA,41,NA,"J Phillips, Mary Feldman",NA,NA,5,1990
"bay",NA,1990-02-27,2.8,13.8,7,0.5,1.5,2.5,NA,33.8,19H 12M 0S,"J Phillips, Mary Feldman",NA,NA,1,1990
"bay",NA,1990-03-05,2.9,11.6,7,0.2,0.4,7,NA,47.3,7H 12M 0S,"J Phillips, Mary Feldman",NA,NA,8.5,1990
"bay",NA,1990-03-12,2.9,9,7,0.15,0.69,17,NA,69.8,19H 12M 0S,"J Phillips, Mary Feldman",NA,NA,21,1990
"bay",NA,1990-03-19,2.8,7.8,7,0.22,0.92,15,NA,57.2,4H 48M 0S,"J Phillips, Mary Feldman",NA,NA,14,1990
"bay",NA,1990-03-26,3,10.8,7,0.25,0.4,9.5,NA,48.2,4H 48M 0S,"J Phillips, Mary Feldman",NA,NA,9,1990
"bay",NA,1990-04-02,1.8,9.6,8,0.15,0.7,5,NA,59,NA,"J Phillips, Mary Feldman",NA,NA,15,1990
"bay",NA,1990-04-09,4.1,10.8,7,0.25,0.78,11,NA,53.6,14H 24M 0S,"J Phillips, Mary Feldman",NA,NA,12,1990
"bay",NA,1990-04-16,2.5,9.7,7,0.25,0.72,15,NA,57.2,4H 48M 0S,"J Phillips, Mary Feldman",NA,NA,14,1990
"bay",NA,1990-04-23,2.8,10.7,7,0.25,0.59,15,NA,59,NA,"J Phillips, Mary Feldman",NA,NA,15,1990
"bay",NA,1990-04-30,3.2,10,7,0.88,1.3,18,NA,60.8,19H 12M 0S,"J Phillips, Mary Feldman",NA,NA,16,1990
"bay",NA,1990-05-07,4.5,8.9,7,0.25,0.75,17,NA,64.4,9H 36M 0S,"J Phillips, Mary Feldman",NA,NA,18,1990
"bay",NA,1990-05-14,3.7,8.4,7,0.32,1,20,NA,66.2,4H 48M 0S,"J Phillips, Mary Feldman",NA,NA,19,1990
"bay",NA,1990-05-21,2.9,NA,7,0.25,0.99,22,NA,76.1,2H 24M 0S,"J Phillips, Mary Feldman",NA,NA,24.5,1990
"bay",NA,1990-05-29,2.1,8.9,7,0.375,0.95,19,NA,68,NA,"J Phillips, Mary Feldman",NA,NA,20,1990
"bay",NA,1990-06-04,3.5,6.9,7,0.4,1.22,24,NA,77,NA,"J Phillips, Mary Feldman",NA,NA,25,1990
"bay",NA,1990-06-11,3.2,7.9,7,0.35,0.75,24,NA,71.6,14H 24M 0S,"J Phillips, Mary Feldman",NA,NA,22,1990
"bay",NA,1990-06-16,3.2,7.7,7,0.32,0.62,23.5,NA,68,NA,"J Phillips, Mary Feldman",NA,NA,20,1990
"bay",NA,1990-06-24,3.8,7.9,7,0.35,0.91,26,NA,78.8,19H 12M 0S,"J Phillips, Mary Feldman",NA,NA,26,1990
"bay",NA,1990-07-02,3.7,7.8,7,0.35,0.78,24,NA,74.3,7H 12M 0S,"J Phillips, Mary Feldman",NA,NA,23.5,1990
"bay",NA,1990-07-09,4.2,7.5,7.5,0.3,0.82,26,NA,79.7,16H 48M 0S,"J Phillips, Mary Feldman",NA,NA,26.5,1990
"bay",NA,1990-07-16,3.9,7.5,7,0.375,1.25,26.5,NA,NA,12H 0M 0S,"J Phillips, Mary Feldman",NA,NA,-17.77777778,1990
"bay",NA,1990-07-26,4.2,6.9,7.75,0.375,0.48,27,NA,78.8,19H 12M 0S,"J Phillips, Mary Feldman",NA,NA,26,1990
"bay",NA,1990-08-06,4.2,7.7,8,0.4,0.98,26,NA,78.8,19H 12M 0S,"J Phillips, Mary Feldman",NA,NA,26,1990
"bay",NA,1990-08-13,4.2,7.8,8,0.35,0.82,27,NA,80.6,14H 24M 0S,"J Phillips, Mary Feldman",NA,NA,27,1990
"bay",NA,1990-08-27,4.2,8.9,8,0.35,0.94,27,NA,83.3,7H 12M 0S,"J Phillips, Mary Feldman",NA,NA,28.5,1990
"bay",NA,1990-09-04,2.9,8.1,8,0.25,0.68,23,NA,75.2,4H 48M 0S,"J Phillips, Mary Feldman",NA,NA,24,1990
"bay",NA,1990-09-17,2.4,8.8,8,0.25,0.78,21,NA,64.4,9H 36M 0S,"J Phillips, Mary Feldman",NA,NA,18,1990
"bay",NA,1990-10-15,3.5,8.2,8,0.3,0.93,23,NA,71.6,14H 24M 0S,"J Phillips, Mary Feldman",NA,NA,22,1990
"bay",NA,1990-10-29,0.7,12.5,8,0.1,0.38,9,NA,50,NA,"J Phillips, Mary Feldman",NA,NA,10,1990
"bay",NA,1990-12-17,0.5,11.05,7.5,0.25,0.6,8,NA,46.4,9H 36M 0S,"J Phillips, Mary Feldman",NA,NA,8,1990
"bay",NA,1991-01-07,0.7,11.8,8,0.2,0.39,9,NA,46.4,9H 36M 0S,"Feldman",NA,NA,8,1991
"bay",NA,1991-01-14,0.4,12.2,8,0.2,0.65,4.5,NA,39.2,4H 48M 0S,"Feldman",NA,NA,4,1991
"bay",NA,1991-01-24,0.5,13.2,7.5,0.2,0.65,4.5,NA,40.1,2H 24M 0S,"Feldman",NA,NA,4.5,1991
"bay",NA,1991-01-03,0.5,11.9,7.5,0.25,0.78,9,NA,51.8,19H 12M 0S,"Feldman",NA,NA,11,1991
"bay",NA,1991-02-04,0.9,NA,7.5,0.25,0.7,9,NA,50.9,21H 36M 0S,"Feldman",NA,NA,10.5,1991
"bay",NA,1991-02-11,0.7,11.1,7.5,0.3,0.41,7.5,NA,46.4,9H 36M 0S,"Feldman",NA,NA,8,1991
"bay",NA,1991-02-21,1.2,10.8,7.5,0.2,0.72,12,NA,50.9,21H 36M 0S,"Feldman",NA,NA,10.5,1991
"bay",NA,1991-02-25,0.7,11.8,7.5,0.2,0.28,8,NA,46.4,9H 36M 0S,"Feldman",NA,NA,8,1991
"bay",NA,1991-03-04,1.2,10,7.5,0.2,1.6,15,NA,60.8,19H 12M 0S,"Feldman",NA,NA,16,1991
"bay",NA,1991-03-11,0.4,12.9,7.5,0.15,0.35,6,NA,39.2,4H 48M 0S,"Feldman",NA,NA,4,1991
"bay",NA,1991-03-18,NA,9.95,7.7,0.25,0.69,11,NA,57.2,4H 48M 0S,"Feldman",NA,NA,14,1991
"bay",NA,1991-03-25,0,9.8,8,0.275,0.94,14,NA,55.4,9H 36M 0S,"Feldman",NA,NA,13,1991
"bay",NA,1991-04-04,1.2,10.7,8,0.32,0.78,13,NA,57.2,4H 48M 0S,"Feldman",NA,NA,14,1991
"bay",NA,1991-04-08,2.1,8.7,8,0.32,0.83,19,NA,69.8,19H 12M 0S,"Feldman",NA,NA,21,1991
"bay",NA,1991-04-15,1.2,8.9,7.5,0.32,0.52,14,NA,59.9,21H 36M 0S,"Feldman",NA,NA,15.5,1991
"bay",NA,1991-04-22,0.9,9.75,7.5,0.2,0.55,12.5,NA,55.4,9H 36M 0S,"Feldman",NA,NA,13,1991
"bay",NA,1991-04-29,2.4,8.3,7.5,0.35,0.8,20.5,NA,64.4,9H 36M 0S,"Feldman",NA,NA,18,1991
"bay",NA,1991-05-06,2.6,8,7.5,0.35,0.95,21,NA,74.3,7H 12M 0S,"Feldman",NA,NA,23.5,1991
"bay",NA,1991-05-20,1.3,9.5,7.5,0.3,0.5,15.5,NA,59,NA,"Feldman",NA,NA,15,1991
"bay",NA,1991-06-10,3,6.9,7.5,0.3,0.7,23,NA,78.8,19H 12M 0S,"Feldman",NA,NA,26,1991
"bay",NA,1991-06-17,3.8,6.8,7.5,0.325,1.09,26,NA,80.6,14H 24M 0S,"Feldman",NA,NA,27,1991
"bay",NA,1991-06-26,2.8,8.1,7.5,0.25,0.7,21,NA,70.7,16H 48M 0S,"Feldman",NA,NA,21.5,1991
"bay",NA,1991-07-09,1.8,7.8,7.5,0.35,0.95,28,NA,85.1,2H 24M 0S,"Feldman",NA,NA,29.5,1991
"bay",NA,1991-07-15,0,8,7.5,0.99,0.375,27.5,NA,82.4,9H 36M 0S,"Feldman",NA,NA,28,1991
"bay",NA,1991-07-25,NA,7.8,7,0.4,0.925,29,NA,84.2,4H 48M 0S,"Feldman",NA,NA,29,1991
"bay",NA,1991-08-02,0.7,8,7.5,0.35,1.025,24.5,NA,79.7,16H 48M 0S,"Feldman",NA,NA,26.5,1991
"bay",NA,1991-08-09,NA,8.4,8,0.35,1.025,27,NA,84.2,4H 48M 0S,"Feldman",NA,NA,29,1991
"bay",NA,1991-08-16,NA,8.8,8,0.38,1.01,25,NA,78.8,19H 12M 0S,"Feldman",NA,NA,26,1991
"bay",NA,1991-08-23,NA,7.8,8,0.375,0.88,26,NA,82.4,9H 36M 0S,"Feldman",NA,NA,28,1991
"bay",NA,1991-08-30,NA,7.8,8,NA,NA,26,NA,81.5,12H 0M 0S,"Feldman",NA,NA,27.5,1991
"bay",NA,1991-09-06,NA,7.7,8,0.375,0.9,25,NA,76.1,2H 24M 0S,"Feldman",NA,NA,24.5,1991
"bay",NA,1991-09-13,NA,8.2,8,0.2,0.37,22.5,NA,77,NA,"Feldman",NA,NA,25,1991
"bay",NA,1991-09-23,1.8,8.5,8,0.31,0.52,20,NA,69.8,19H 12M 0S,"Feldman",NA,NA,21,1991
"bay",NA,1991-10-04,3.5,7.7,7.5,0.28,0.7,21,NA,71.6,NA,"Feldman",NA,NA,22,1991
"bay",NA,1991-10-17,9,9.7,7.5,0.2,0.65,13,NA,51.8,19H 12M 0S,"Feldman",NA,NA,11,1991
"bay",NA,1991-10-31,2.5,9.2,7.5,NA,1.5,13,NA,59,NA,"Feldman",NA,NA,15,1991
"bay",NA,1991-11-07,4.7,10.2,7.7,0.25,0.75,13,NA,56.3,7H 12M 0S,"Feldman",NA,NA,13.5,1991
"bay",NA,1991-11-14,6.2,11.3,7,0.15,0.8,12,NA,56.3,7H 12M 0S,"Feldman",NA,NA,13.5,1991
"bay",NA,1991-11-21,2.6,9.1,7,0.15,0.85,17,NA,67.1,2H 24M 0S,"Feldman",NA,NA,19.5,1991
"bay",NA,1991-11-29,3.3,10.8,7.5,0.25,0.6,12,NA,59,NA,"Feldman",NA,NA,15,1991
"bay",NA,1991-12-09,2,10.4,7.5,0.15,0.25,10,NA,59,NA,"Feldman",NA,NA,15,1991
"bay",NA,1991-12-20,1.4,15.1,8,0.2,0.3,2,NA,35.6,14H 24M 0S,"Feldman",NA,NA,2,1991
"bay",NA,1991-12-27,2.9,11.6,7.5,0.35,0.49,7,NA,44.6,14H 24M 0S,"Feldman",NA,NA,7,1991
"bay",NA,1992-01-03,2,11.8,7.5,0.28,0.45,10,NA,53.6,14H 24M 0S,"Feldman",NA,NA,12,1992
"bay",NA,1992-01-09,2.2,11.3,7.5,0.3,0.99,7.5,NA,49.1,2H 24M 0S,"Feldman",NA,NA,9.5,1992
"bay",NA,1992-01-20,1.4,12.6,7,0.2,0.58,2,NA,32.9,21H 36M 0S,"Feldman",NA,NA,0.5,1992
"bay",NA,1992-01-30,1.6,11.6,7,0.25,0.48,6,NA,43.7,16H 48M 0S,"Feldman",NA,NA,6.5,1992
"bay",NA,1992-02-10,2.4,14.2,7,0.25,0.3,3,NA,39.2,4H 48M 0S,"Feldman",NA,NA,4,1992
"bay",NA,1992-02-17,2,11.1,7,0.15,0.68,10,NA,44.6,14H 24M 0S,"Feldman",NA,NA,7,1992
"bay",NA,1992-02-23,2.4,10,7.5,0.15,0.68,12.5,NA,54.5,12H 0M 0S,"Feldman",NA,NA,12.5,1992
"bay",NA,1992-03-02,2.9,11.3,8,0.2,0.8,13,NA,59.9,21H 36M 0S,"Feldman",NA,NA,15.5,1992
"bay",NA,1992-03-09,3.5,10,7.5,0.25,0.75,16,NA,64.4,9H 36M 0S,"Feldman",NA,NA,18,1992
"bay",NA,1992-03-16,2.8,NA,7,0.15,0.48,3,NA,30,NA,"Feldman",NA,NA,-1.111111111,1992
"bay",NA,1992-03-23,2.9,11.6,7.5,0.05,0.35,3,NA,44.6,14H 24M 0S,"Feldman",NA,NA,7,1992
"bay",NA,1992-04-06,3,11,7.5,0.25,0.42,9,NA,50,NA,"Feldman",NA,NA,10,1992
"bay",NA,1992-04-13,3.8,10.6,7.5,0.1,0.5,13,NA,45.5,12H 0M 0S,"Feldman",NA,NA,7.5,1992
"bay",NA,1992-04-20,4.7,9.4,7,0.2,0.78,17,NA,55.4,9H 36M 0S,"Feldman",NA,NA,13,1992
"bay",NA,1992-04-27,3.7,9.6,7,0.35,0.65,14,NA,55.49,11H 45M 0S,"Feldman",NA,NA,13.05,1992
"bay",NA,1992-05-05,3.8,8.9,7.5,0.2,0.6,15.5,NA,50,NA,"Feldman",NA,NA,10,1992
"bay",NA,1992-05-11,4.2,9.2,7.5,0.3,0.7,17.5,NA,62.6,14H 24M 0S,"Feldman",NA,NA,17,1992
"bay",NA,1992-05-18,3.9,9,7.5,0.3,0.65,NA,NA,75.2,4H 48M 0S,"Feldman",NA,NA,24,1992
"bay",NA,1992-06-01,5,9.4,7,0.4,0.9,20,NA,68.9,21H 36M 0S,"Feldman",NA,NA,20.5,1992
"bay",NA,1992-06-08,4.3,7.9,7,0.4,1.05,27.5,NA,84.2,4H 48M 0S,"Feldman",NA,NA,29,1992
"bay",NA,1992-06-15,5.1,7.8,8,0.4,0.8,25,NA,84.2,4H 48M 0S,"Feldman",NA,NA,29,1992
"bay",NA,1992-06-22,4.7,9,7.5,0.45,0.68,19,NA,64.4,9H 36M 0S,"Feldman",NA,NA,18,1992
"bay",NA,1992-06-29,4.5,0.8,7.5,0.4,0.8,26,NA,78.8,19H 12M 0S,"Feldman",NA,NA,26,1992
"bay",NA,1992-07-06,4.3,7.5,7.5,0.45,1,25,NA,75.2,4H 48M 0S,"Feldman",NA,NA,24,1992
"bay",NA,1992-07-13,5.1,7.3,7.5,0.35,0.95,28.5,NA,87.8,19H 12M 0S,"Feldman",NA,NA,31,1992
"bay",NA,1992-07-27,5.1,7.6,8,0.35,0.95,28,NA,86.9,21H 36M 0S,"Feldman",NA,NA,30.5,1992
"bay",NA,1992-08-03,4.5,8,8,0.3,0.85,26,NA,78.8,19H 12M 0S,"Feldman",NA,NA,26,1992
"bay",NA,1992-08-07,4.7,8,8,0.33,0.6,23,NA,77,NA,"Feldman",NA,NA,25,1992
"bay",NA,1992-08-14,4.7,7.1,7.5,0.4,0.95,24.5,NA,71.6,14H 24M 0S,"Feldman",NA,NA,22,1992
"bay",NA,1992-08-23,3.9,8.5,8,0.4,0.8,24.5,NA,78.8,19H 12M 0S,"Feldman",NA,NA,26,1992
"bay",NA,1992-08-31,4.3,7.7,7.5,0.3,1,23,NA,77,NA,"Feldman",NA,NA,25,1992
"bay",NA,1992-09-14,4.8,9.2,8,0.38,0.38,19.5,NA,71.6,14H 24M 0S,"Feldman",NA,NA,22,1992
"bay",NA,1992-09-20,4.3,7.6,7.5,0.35,0.8,23.5,NA,75.2,4H 48M 0S,"Feldman",NA,NA,24,1992
"bay",NA,1992-09-27,5.4,9.8,8,0.25,0.45,24,NA,79.7,16H 48M 0S,"Feldman",NA,NA,26.5,1992
"bay",NA,1992-10-05,3.9,9.2,7.5,0.1,0.15,16,NA,62.6,14H 24M 0S,"Feldman",NA,NA,17,1992
"bay",NA,1992-10-19,4.1,9.8,7.5,0.1,1,12,NA,50,NA,"Feldman",NA,NA,10,1992
"bay",NA,1992-10-26,4.2,10.6,7,0.3,0.63,12.5,NA,55.4,9H 36M 0S,"Feldman",NA,NA,13,1992
"bay",NA,1992-11-02,3.4,10.6,7.5,0.35,0.65,16.5,NA,63.5,12H 0M 0S,"Feldman",NA,NA,17.5,1992
